Month,Customer,MRR,Interactions,Interaction Cost,Acquisition Cost
2026-02,Crescent Retail,59701,20,310.07,543447.1244913917
2026-03,Crescent Retail,61155,18,526.9,492361.13634744217
2026-04,Crescent Retail,63631,22,302.23,317799.30734024255
2026-05,Crescent Retail,59348,8,123.88,432246.7990782743
2026-06,Crescent Retail,68423,15,439.1,415357.64403962356
2026-07,Crescent Retail,57983,3,419.98,246309.34658627358
2026-08,Crescent Retail,57640,22,168.87,258782.70793170173
2025-01,Delta Systems,13652,7,445.99,20514.538983613314
2025-02,Delta Systems,14223,15,467.94,34208.00162543379
2025-03,Delta Systems,18214,20,293.27,13506.838060526557
2025-04,Delta Systems,12294,19,250.34,30041.47703801064
2025-05,Delta Systems,17914,10,510.11,18925.736945560282
2025-06,Delta Systems,16280,23,631.37,31515.216316786715
2025-07,Delta Systems,16279,3,634.12,23081.83405925582
2025-08,Delta Systems,14435,24,526.98,33442.42583062921
2025-09,Delta Systems,16718,7,463.87,34401.82091940049
2025-10,Delta Systems,18152,18,642.83,19057.204899848155
2025-11,Delta Systems,17828,5,586.59,30078.8752845675
2025-12,Delta Systems,15059,3,635.79,13216.185421555772
2026-01,Delta Systems,16839,2,371.01,26216.549841729222
2026-02,Delta Systems,13916,23,500.85,29613.049696048587
2026-03,Delta Systems,12579,4,144.11,14917.19706699064
2026-04,Delta Systems,14816,8,582.09,23341.31811872309
2026-05,Delta Systems,12430,19,343.12,26350.119940675177
2026-06,Delta Systems,16943,16,524.09,31800.82089559196
2026-07,Delta Systems,15187,12,224.76,13448.763993848073
2026-08,Delta Systems,15494,21,244.59,28877.949148997184
2025-01,Evergreen Health,53437,16,189.24,188744.911944311
2025-02,Evergreen Health,44620,21,448.72,252057.90738657827
2025-03,Evergreen Health,47963,6,178.81,345505.58023748826
2025-04,Evergreen Health,60424,14,176.0,447256.9873462276
2025-05,Evergreen Health,44103,8,126.09,349597.90433937835
2025-06,Evergreen Health,56828,18,302.74,361330.9477822313
2025-07,Evergreen Health,62902,19,230.76,312856.02733382815
2025-08,Evergreen Health,63348,23,520.69,362679.6422835315
2025-09,Evergreen Health,63085,3,193.25,234135.9202563746
2025-10,Evergreen Health,56280,4,426.5,227753.1207571203
2025-11,Evergreen Health,50380,18,540.48,230917.6618127289
2025-12,Evergreen Health,44547,16,563.68,201819.06323663134
2026-01,Evergreen Health,52797,19,599.99,423445.2506098808
2026-02,Evergreen Health,64757,5,479.58,271463.2310238112
2026-03,Evergreen Health,47063,2,337.38,487246.70217700687
2026-04,Evergreen Health,57344,24,441.34,310478.90809459647
2026-05,Evergreen Health,44464,4,195.09,365073.38131522754
2026-06,Evergreen Health,52595,21,247.56,436425.356707247
2026-07,Evergreen Health,51518,20,620.28,191785.42994783644
2026-08,Evergreen Health,63360,20,549.5,455953.2580342147
2025-01,Falcon Logistics,77129,11,295.26,123808.45109581127
2025-02,Falcon Logistics,104608,21,494.69,75724.65125136967
2025-03,Falcon Logistics,85312,16,201.98,86626.74033934728
2025-04,Falcon Logistics,99980,4,508.66,85729.98710659413
2025-05,Falcon Logistics,80042,16,646.76,107772.64621253511
2025-06,Falcon Logistics,102819,15,246.71,128538.52156097034
2025-07,Falcon Logistics,80421,9,551.52,52543.72024495298
2025-08,Falcon Logistics,96327,13,120.78,73772.23801657613
2025-09,Falcon Logistics,95969,17,369.09,61906.001498662314
2025-10,Falcon Logistics,97268,8,562.49,127507.88222604456
2025-11,Falcon Logistics,100590,11,242.6,102546.85038099122
2025-12,Falcon Logistics,96862,3,144.13,134312.91520495948
2026-01,Falcon Logistics,94798,20,294.0,57164.91020982995
2026-02,Falcon Logistics,77926,7,583.39,47979.29079315134
2026-03,Falcon Logistics,91990,20,492.28,89984.7419459783
2026-04,Falcon Logistics,80331,7,450.58,59048.808128664736
2026-05,Falcon Logistics,89151,15,625.0,111368.63269607256
2026-06,Falcon Logistics,75338,20,143.23,83188.1294777796
2026-07,Falcon Logistics,82163,11,165.27,97749.8329344984
2026-08,Falcon Logistics,107227,9,418.39,100947.31556672508
2025-01,Gamma Manufacturing,145548,2,367.95,295350.406103386
2025-02,Gamma Manufacturing,157067,6,375.27,357757.9399732514
2025-03,Gamma Manufacturing,142171,19,221.29,492088.5356506432
2025-04,Gamma Manufacturing,187396,21,514.24,253525.18733273735
2025-05,Gamma Manufacturing,200356,22,311.91,203629.42124766912
2025-06,Gamma Manufacturing,141016,16,216.42,331965.2532272893
2025-07,Gamma Manufacturing,179454,20,470.72,401584.49004984275
2025-08,Gamma Manufacturing,169586,9,197.71,386573.67384305736
2025-09,Gamma Manufacturing,199387,22,386.29,242757.39818104284
2025-10,Gamma Manufacturing,170414,10,505.63,315955.04551375646
2025-11,Gamma Manufacturing,194868,19,307.4,339821.28295357176
2025-12,Gamma Manufacturing,169811,10,632.79,450187.66176892916
2026-01,Gamma Manufacturing,171340,13,377.93,514448.0360012068
2026-02,Gamma Manufacturing,133534,17,610.34,453663.6428245938
2026-03,Gamma Manufacturing,153360,5,648.36,399184.74788352626
2026-04,Gamma Manufacturing,181772,13,424.37,447947.608923234
2026-05,Gamma Manufacturing,136659,18,637.9,372797.6177189142
2026-06,Gamma Manufacturing,175476,23,468.47,184954.11387750442
2026-07,Gamma Manufacturing,182224,2,191.46,352317.2583638769
2026-08,Gamma Manufacturing,188059,15,579.67,476623.55630336894
2025-01,Horizon Tech,134767,21,349.91,14470.849177084998
2025-02,Horizon Tech,179351,6,388.42,13600.220649578625
2025-03,Horizon Tech,151430,7,202.84,19292.589562589845
2025-04,Horizon Tech,168513,23,144.83,14621.949332166861
2025-05,Horizon Tech,119528,13,448.19,18102.453420680962
2025-06,Horizon Tech,147507,14,428.83,15103.881992416013
2025-07,Horizon Tech,165308,7,175.48,9318.546715160785
2025-08,Horizon Tech,122681,3,248.77,17698.249881981323
2025-09,Horizon Tech,141084,5,188.23,11216.880720378276
2025-10,Horizon Tech,145524,14,134.72,14577.52648527897
2025-11,Horizon Tech,161725,16,233.22,11913.073669222713
2025-12,Horizon Tech,175954,8,423.82,10401.158310172514
2026-01,Horizon Tech,140162,16,408.03,11609.601627150743
2026-02,Horizon Tech,120567,23,562.47,17120.08367536152
2026-03,Horizon Tech,122265,7,440.73,9856.434059180201
2026-04,Horizon Tech,176946,6,281.86,8488.773167804822
2026-05,Horizon Tech,133774,15,214.35,7370.336002153582
2026-06,Horizon Tech,132358,6,350.83,13006.359791157325
2026-07,Horizon Tech,123796,3,434.68,16877.742442858056
2026-08,Horizon Tech,147527,24,465.0,15195.740069890451
2025-01,Indus Education,149037,24,367.71,126553.80016196067
2025-02,Indus Education,142338,17,534.72,53051.41577903299
2025-03,Indus Education,196309,16,355.05,110629.44292603536
2025-04,Indus Education,193091,16,125.11,108001.02303614665
2025-05,Indus Education,198563,6,176.81,124812.57298988606
2025-06,Indus Education,130091,21,414.96,62018.49128812607
2025-07,Indus Education,141629,10,416.51,126430.5131395881
2025-08,Indus Education,167885,23,420.94,64469.28915267569
2025-09,Indus Education,135661,17,261.4,59614.984287199106
2025-10,Indus Education,161884,19,337.32,119705.15610987948
2025-11,Indus Education,188326,16,541.76,116427.78846013834
2025-12,Indus Education,139333,4,279.61,65294.0164746448
2026-01,Indus Education,131928,5,563.18,81516.07090651715
2026-02,Indus Education,168349,15,614.19,51503.60976051738
2026-03,Indus Education,176437,15,595.13,110487.51606206414
2026-04,Indus Education,180417,18,472.44,113847.37005873732
2026-05,Indus Education,198003,20,123.45,51985.478746040244
2026-06,Indus Education,191243,13,241.1,72393.04998989409
2026-07,Indus Education,188041,23,404.7,62387.27805751782
2026-08,Indus Education,179390,23,388.89,45176.04228142119
2025-01,Jupiter Foods,101999,4,474.51,38929.46778440243
2025-02,Jupiter Foods,104751,15,345.43,30736.542588960623
2025-03,Jupiter Foods,71234,9,623.46,34107.53144718464
2025-04,Jupiter Foods,102308,23,134.74,30185.029778483226
2025-05,Jupiter Foods,78676,5,352.39,28803.892526684365
2025-06,Jupiter Foods,78848,20,134.87,68028.65894530508
2025-07,Jupiter Foods,84576,16,343.45,65762.64644968961
2025-08,Jupiter Foods,84580,24,353.51,44170.26752618159
2025-09,Jupiter Foods,83191,16,466.4,83264.08220677653
2025-10,Jupiter Foods,99975,8,549.44,54731.84210354034
2025-11,Jupiter Foods,83216,3,497.91,61623.10261798545
2025-12,Jupiter Foods,87109,21,385.46,60816.88388314886
2026-01,Jupiter Foods,90795,6,544.16,30033.227495644514
2026-02,Jupiter Foods,83054,10,573.31,50053.526973126274
2026-03,Jupiter Foods,104577,8,479.99,31272.599774502472
2026-04,Jupiter Foods,96190,5,649.62,30972.373645087482
2026-05,Jupiter Foods,90397,7,393.5,81141.8201837749
2026-06,Jupiter Foods,97231,21,347.68,30309.16046783767
2026-07,Jupiter Foods,82346,19,223.44,68450.26041181933
2026-08,Jupiter Foods,77499,16,614.36,48328.361505581444
2025-01,Kaveri Engineering,70328,6,127.0,72097.17661517653
2025-02,Kaveri Engineering,57097,11,346.19,132101.519694462
2025-03,Kaveri Engineering,49625,10,628.15,165985.11145385148
2025-04,Kaveri Engineering,49283,7,390.3,156963.75870605957
2025-05,Kaveri Engineering,46837,3,311.85,178909.80774640967
2025-06,Kaveri Engineering,55835,6,480.42,88202.33119501184
2025-07,Kaveri Engineering,69724,20,300.92,67069.94928379911
2025-08,Kaveri Engineering,47038,22,128.11,109933.45228039604
2025-09,Kaveri Engineering,52648,24,397.6,155117.76337403312
2025-10,Kaveri Engineering,55101,21,478.99,125110.22589040743
2025-11,Kaveri Engineering,57013,13,246.63,117594.50212182799
2025-12,Kaveri Engineering,67173,3,593.61,172541.32892156966
2026-01,Kaveri Engineering,56557,5,610.56,143842.02313129412
2026-02,Kaveri Engineering,55171,16,147.88,89855.07074301109
2026-03,Kaveri Engineering,47559,20,287.63,125300.03256348932
2026-04,Kaveri Engineering,62823,13,494.35,132930.73452471278
2026-05,Kaveri Engineering,49942,10,506.58,147381.70442097972
2026-06,Kaveri Engineering,46298,17,308.12,81926.9547203457
2026-07,Kaveri Engineering,52161,14,354.89,109475.90055691832
2026-08,Kaveri Engineering,68412,17,547.21,118383.62748103631
2025-01,Lotus Retail,106024,22,218.13,180050.34531104704
2025-02,Lotus Retail,101739,23,355.17,437661.7015965582
2025-03,Lotus Retail,128314,20,640.72,406952.574914074
2025-04,Lotus Retail,91232,8,199.94,334187.00714668824
2025-05,Lotus Retail,107179,12,490.67,338917.9219787374
2025-06,Lotus Retail,119778,21,223.97,388536.0245331214
2025-07,Lotus Retail,119172,12,203.8,265036.71735192713
2025-08,Lotus Retail,112825,8,127.14,331902.6280293778
2025-09,Lotus Retail,108080,20,401.32,398421.7782917283
2025-10,Lotus Retail,132682,13,388.13,378030.018342189
2025-11,Lotus Retail,98447,11,329.77,218086.69479019087
2025-12,Lotus Retail,93660,8,362.34,286710.4492709268
2026-01,Lotus Retail,90830,24,409.03,302660.22817125067
2026-02,Lotus Retail,119042,4,532.37,408595.10469552426
2026-03,Lotus Retail,99744,24,138.27,394171.60231726075
2026-04,Lotus Retail,134051,17,307.32,353424.6647205783
2026-05,Lotus Retail,114697,4,477.53,314800.84457401343
2026-06,Lotus Retail,101476,15,237.69,357679.9165359852
2026-07,Lotus Retail,125510,22,594.54,410217.38783665304
2026-08,Lotus Retail,96481,8,542.33,177704.6654637466
2025-01,Metro Healthcare,0,13,458.11,214866.2530647953
2025-02,Metro Healthcare,0,18,621.59,256161.53753987025
2025-03,Metro Healthcare,0,19,580.01,143046.12116749832
2025-04,Metro Healthcare,0,11,472.72,210589.4874265363
2025-05,Metro Healthcare,0,9,170.45,235553.63870060368
2025-06,Metro Healthcare,0,22,291.47,158994.95080567274
2025-07,Metro Healthcare,0,8,555.15,225025.25895547436
2025-08,Metro Healthcare,57980,5,257.75,189059.2400671561
2025-09,Metro Healthcare,0,24,317.36,181036.23254755704
2025-10,Metro Healthcare,0,20,415.21,181660.39569303097
2025-11,Metro Healthcare,0,11,300.12,256343.76076373394
2025-12,Metro Healthcare,0,2,416.03,111010.2989476454
2026-01,Metro Healthcare,75384,24,435.69,242923.70289466143
2026-02,Metro Healthcare,69308,8,583.72,187491.81524298916
2026-03,Metro Healthcare,0,20,386.14,123257.21376071553
2026-04,Metro Healthcare,62288,9,365.3,174603.52437050038
2026-05,Metro Healthcare,81410,13,497.88,235105.9880167882
2026-06,Metro Healthcare,0,4,508.85,203052.10329652764
2026-07,Metro Healthcare,0,6,247.86,190326.7820323443
2026-08,Metro Healthcare,0,20,619.16,214567.16557021555
2025-01,Nova Systems,0,4,154.01,37881.7941491174
2025-02,Nova Systems,0,6,158.64,64388.780169862286
2025-03,Nova Systems,0,9,318.51,42287.08389637417
2025-04,Nova Systems,0,10,227.87,64542.05565641731
2025-05,Nova Systems,0,18,146.49,45826.94258294641
2025-06,Nova Systems,0,15,359.66,63778.84302869324
2025-07,Nova Systems,188444,21,142.2,49738.65351513333
2025-08,Nova Systems,0,4,186.52,62743.781971979304
2025-09,Nova Systems,177809,6,336.5,42871.65043469836
2025-10,Nova Systems,212942,20,503.45,57768.82496120802
2025-11,Nova Systems,0,5,450.25,51970.806596447095
2025-12,Nova Systems,0,21,123.36,67151.44007153128
2026-01,Nova Systems,0,19,550.58,23953.198859650383
2026-02,Nova Systems,188688,19,560.49,27266.78070581802
2026-03,Nova Systems,0,18,267.39,30135.947084851727
2026-04,Nova Systems,0,19,270.1,46430.82674116544
2026-05,Nova Systems,0,21,471.48,23724.13509863518
2026-06,Nova Systems,0,24,420.87,40911.85577261557
2026-07,Nova Systems,174204,7,437.87,59188.8595870444
2026-08,Nova Systems,0,13,290.93,54418.588746293666
2025-01,Orion Industrial,277196,15,323.85,620363.4432085191
2025-02,Orion Industrial,265624,13,561.26,273300.16802461946
2025-03,Orion Industrial,259395,20,643.92,395926.7246180242
2025-04,Orion Industrial,247262,12,233.59,582475.2134014915
2025-05,Orion Industrial,205078,20,205.79,210053.34751915192
2025-06,Orion Industrial,206517,20,430.78,510263.7230550193
2025-07,Orion Industrial,242816,16,278.76,585045.1055781279
2025-08,Orion Industrial,268918,22,611.74,319558.3795199964
2025-09,Orion Industrial,278382,12,641.56,373263.0526309329
2025-10,Orion Industrial,277734,20,476.35,397486.94651228545
2025-11,Orion Industrial,250390,23,150.59,557849.4414616528
2025-12,Orion Industrial,218033,15,221.86,303933.18955154094
2026-01,Orion Industrial,188177,17,498.32,545469.1348646538
2026-02,Orion Industrial,188172,12,171.1,419989.3684370471
2026-03,Orion Industrial,263277,13,386.95,551572.2560425234
2026-04,Orion Industrial,278374,21,264.29,397400.21900471405
2026-05,Orion Industrial,252879,18,493.33,306459.0674046858
2026-06,Orion Industrial,228771,20,173.34,273364.97811188444
2026-07,Orion Industrial,190822,15,645.93,312465.69604561466
2026-08,Orion Industrial,268938,14,303.8,489866.50450059585
2025-01,Pioneer Logistics,125832,14,625.83,452183.5971268212
2025-02,Pioneer Logistics,89227,6,263.43,431392.7736954444
2025-03,Pioneer Logistics,109219,8,574.03,385224.52078939223
2025-04,Pioneer Logistics,86110,20,147.87,614364.1691176777
2025-05,Pioneer Logistics,88379,3,169.99,712391.9466756135
2025-06,Pioneer Logistics,124857,6,380.62,568560.1674753253
2025-07,Pioneer Logistics,112064,4,504.78,339382.523798946
2025-08,Pioneer Logistics,105429,2,403.67,465697.48867458483
2025-09,Pioneer Logistics,107034,8,492.18,700946.6099425559
2025-10,Pioneer Logistics,108469,23,459.17,560283.8627799771
2025-11,Pioneer Logistics,114084,19,239.14,546674.9577244489
2025-12,Pioneer Logistics,111747,6,507.98,676856.5355519269
2026-01,Pioneer Logistics,119429,14,360.71,543753.561972069
2026-02,Pioneer Logistics,109321,18,201.63,513281.66831584857
2026-03,Pioneer Logistics,108361,13,415.42,495150.8052734809
2026-04,Pioneer Logistics,107419,15,473.03,687635.5041992666
2026-05,Pioneer Logistics,114452,14,404.98,511350.416009836
2026-06,Pioneer Logistics,123552,22,569.16,523556.63617831183
2026-07,Pioneer Logistics,88009,16,219.53,248700.04617678447
2026-08,Pioneer Logistics,116929,22,442.52,461976.79174723657
2025-01,Quantum Tech,113220,5,546.11,240860.52228883345
2025-02,Quantum Tech,95653,3,289.78,379783.47573410225
2025-03,Quantum Tech,99379,18,539.33,383554.4300015281
2025-04,Quantum Tech,80287,21,133.68,168218.25486051186
2025-05,Quantum Tech,80028,13,575.46,310932.4855708354
2025-06,Quantum Tech,97136,14,587.88,429554.9027877932
2025-07,Quantum Tech,115886,23,155.13,189114.77579708022
2025-08,Quantum Tech,96805,6,569.11,350700.68129213987
2025-09,Quantum Tech,109890,16,478.43,275164.0946166928
2025-10,Quantum Tech,107419,7,161.98,318402.70500414446
2025-11,Quantum Tech,107006,19,339.31,332699.27300239744
2025-12,Quantum Tech,104394,2,416.27,256211.63759509343
2026-01,Quantum Tech,112006,14,149.55,158039.86478293227
2026-02,Quantum Tech,94128,16,452.73,273751.86646011076
2026-03,Quantum Tech,96215,17,638.87,396348.2030679728
2026-04,Quantum Tech,106404,3,174.86,380601.4776789465
2026-05,Quantum Tech,109096,22,501.71,243077.93648433595
2026-06,Quantum Tech,89231,9,492.07,215677.61756173885
2026-07,Quantum Tech,111615,6,185.77,399086.6078706891
2026-08,Quantum Tech,98573,17,140.32,386133.89932117687
2025-01,Riverstone Ltd,246038,13,566.04,29328.697676620355
2025-02,Riverstone Ltd,193215,7,285.22,26874.248363124578
2025-03,Riverstone Ltd,190142,22,375.7,29328.9630820397
2025-04,Riverstone Ltd,184971,19,529.49,39884.26853046443
2025-05,Riverstone Ltd,238077,7,466.18,28117.331098761835
2025-06,Riverstone Ltd,245180,19,284.82,18351.602883643525
2025-07,Riverstone Ltd,214601,23,451.07,33741.30513257097
2025-08,Riverstone Ltd,263829,9,293.73,41901.62907690345
2025-09,Riverstone Ltd,227090,10,484.7,22155.552765270488
2025-10,Riverstone Ltd,250774,18,537.87,22123.673028572535
2025-11,Riverstone Ltd,280182,22,430.23,31208.93971201337
2025-12,Riverstone Ltd,214130,9,123.6,43296.39783839818
2026-01,Riverstone Ltd,240900,15,224.75,16217.070403004009
2026-02,Riverstone Ltd,252807,3,224.3,40421.37979853637
2026-03,Riverstone Ltd,194402,17,416.7,40135.85275744587
2026-04,Riverstone Ltd,249384,8,588.35,42916.902904290284
2026-05,Riverstone Ltd,247704,5,257.62,30508.809472217017
2026-06,Riverstone Ltd,229363,11,480.11,31046.79030732317
2026-07,Riverstone Ltd,215064,3,300.83,42823.53010829368
2026-08,Riverstone Ltd,198273,14,159.0,31918.816936122927
2025-01,Summit Manufacturing,0,14,308.44,139978.7953432855
2025-02,Summit Manufacturing,0,3,170.64,237813.25240034514
2025-03,Summit Manufacturing,0,17,474.6,287266.49239650765
2025-04,Summit Manufacturing,19841,9,252.46,159310.23050141925
2025-05,Summit Manufacturing,0,5,327.82,175977.38411373313
2025-06,Summit Manufacturing,15478,18,158.56,387447.4108785496
2025-07,Summit Manufacturing,0,18,604.88,311457.1541403562
2025-08,Summit Manufacturing,20001,11,581.78,307522.5663835328
2025-09,Summit Manufacturing,0,9,299.98,362786.91545264696
2025-10,Summit Manufacturing,0,14,412.06,251629.5772775063
2025-11,Summit Manufacturing,0,5,275.42,145528.10086385274
2025-12,Summit Manufacturing,0,7,133.96,376874.45856752235
2026-01,Summit Manufacturing,16000,9,476.31,267043.20624022756
2026-02,Summit Manufacturing,0,18,164.86,322863.8452672927
2026-03,Summit Manufacturing,15180,15,230.48,415195.6822708453
2026-04,Summit Manufacturing,19016,19,291.73,253887.31297009776
2026-05,Summit Manufacturing,20097,17,429.42,173674.86998663086
2026-06,Summit Manufacturing,0,5,580.68,384985.3743469379
2026-07,Summit Manufacturing,0,11,278.47,168824.22524366685
2026-08,Summit Manufacturing,0,8,317.46,262065.8702107613
2025-01,Trinity Services,260648,10,484.16,43615.51575299879
2025-02,Trinity Services,207281,10,649.84,39656.407793472514
2025-03,Trinity Services,221259,5,163.75,60802.44136989193
2025-04,Trinity Services,276498,24,301.13,55095.80841141932
2025-05,Trinity Services,262604,2,256.84,34764.31047735809
2025-06,Trinity Services,195049,13,129.12,55912.756720922756
2025-07,Trinity Services,239098,15,210.79,42955.753942523064
2025-08,Trinity Services,216075,10,362.08,27858.78798465593
2025-09,Trinity Services,230079,8,549.43,62154.649758337895
2025-10,Trinity Services,198283,24,325.76,50755.036069853944
2025-11,Trinity Services,221508,3,434.23,60273.443857737664
2025-12,Trinity Services,229989,8,159.33,39009.093041986765
2026-01,Trinity Services,190880,18,619.52,51242.40812420201
2026-02,Trinity Services,242621,9,405.61,39445.8741991281
2026-03,Trinity Services,199345,8,370.69,28331.410851361183
2026-04,Trinity Services,197040,19,332.61,22931.75703547037
2026-05,Trinity Services,235794,4,247.12,37338.627467375016
2026-06,Trinity Services,219772,21,131.21,30165.120370978962
2026-07,Trinity Services,222920,21,632.56,51217.02280899013
2026-08,Trinity Services,262414,7,132.73,56954.998278269355
2025-01,Urban Retail,15249,12,545.45,144982.6309737443
2025-02,Urban Retail,12110,13,559.5,172679.2733459198
2025-03,Urban Retail,10862,14,473.46,124051.4275150954
2025-04,Urban Retail,10482,2,386.14,187051.3337433286
2025-05,Urban Retail,13274,2,608.88,190708.88469341156
2025-06,Urban Retail,11183,9,453.02,106960.42905752156
2025-07,Urban Retail,13994,3,216.16,125659.61642175875
2025-08,Urban Retail,13500,16,143.98,98064.56758062956
2025-09,Urban Retail,12787,7,285.08,75555.9106926314
2025-10,Urban Retail,12078,15,364.33,185693.10194870518
2025-11,Urban Retail,14350,24,411.27,111212.19894732817
2025-12,Urban Retail,11502,13,600.6,177133.26125874382
2026-01,Urban Retail,14740,3,432.39,190981.69730615485
2026-02,Urban Retail,11825,23,343.25,130499.47001873539
2026-03,Urban Retail,14688,18,492.67,109277.91840344119
2026-04,Urban Retail,10419,12,141.67,66138.06018707127
2026-05,Urban Retail,15113,21,121.83,83533.3902087109
2026-06,Urban Retail,12235,18,495.47,118795.2735266022
2026-07,Urban Retail,14717,9,197.19,188965.0064027846
2026-08,Urban Retail,12650,3,605.0,170674.89522650323
2025-01,Vertex Health,198060,24,600.3,365319.7034562079
2025-02,Vertex Health,184706,23,127.06,645272.3226026377
2025-03,Vertex Health,201453,24,458.84,616389.4975432397
2025-04,Vertex Health,191381,5,200.78,576386.2426261397
2025-05,Vertex Health,164616,5,484.59,380710.25519567076
2025-06,Vertex Health,183781,22,125.63,534272.3332239117
2025-07,Vertex Health,138027,7,187.78,647306.725794516
2025-08,Vertex Health,188236,19,397.84,597213.0555213551
2025-09,Vertex Health,145897,18,138.09,301357.1017169798
2025-10,Vertex Health,186252,7,157.76,495298.55991427717
2025-11,Vertex Health,144359,21,574.8,570515.2605218875
2025-12,Vertex Health,153477,18,332.62,719974.8387930584
2026-01,Vertex Health,171731,9,196.54,436674.7991410597
2026-02,Vertex Health,201884,19,566.84,542968.5262157525
2026-03,Vertex Health,152396,11,188.22,737113.2077971022
2026-04,Vertex Health,155154,11,323.53,667768.4062368387
2026-05,Vertex Health,165904,24,369.5,297378.02277224534
2026-06,Vertex Health,198918,17,444.88,333358.67600702285
2026-07,Vertex Health,203895,18,354.25,315683.3709182134
2026-08,Vertex Health,172961,3,571.72,509596.28679595626
2025-01,Westline Systems,17858,22,513.01,497490.86752339423
2025-02,Westline Systems,18885,2,208.38,287626.56225886836
2025-03,Westline Systems,16499,20,535.94,460445.0190573633
2025-04,Westline Systems,17098,16,550.81,488272.9987969468
2025-05,Westline Systems,16256,12,416.49,338405.421585441
2025-06,Westline Systems,14920,21,291.57,425267.7242569662
2025-07,Westline Systems,16647,19,641.48,514915.82990888966
2025-08,Westline Systems,13669,22,497.18,580259.3033529081
2025-09,Westline Systems,14043,17,280.16,315957.66572938417
2025-10,Westline Systems,16831,4,242.54,249262.87404733672
2025-11,Westline Systems,17931,11,467.26,206920.32336775685
2025-12,Westline Systems,15736,12,336.58,384878.3950910182
2026-01,Westline Systems,18392,24,196.99,240172.18736392568
2026-02,Westline Systems,13824,11,294.99,567123.1527728094
2026-03,Westline Systems,13639,2,597.37,574024.8740633975
2026-04,Westline Systems,16277,19,432.67,302718.1540813316
2026-05,Westline Systems,14844,11,479.07,594380.8071279773
2026-06,Westline Systems,16582,24,471.16,532639.7825070047
2026-07,Westline Systems,14959,12,339.84,465439.52875853155
2026-08,Westline Systems,14823,23,471.89,258518.5535310045
2025-01,Zenith Foods,184419,4,622.58,55506.742143132375
