Month,Campaign,Spend,Leads,Opportunities,Won Customers,Attributed Revenue,Emails Sent,Email Opens,Email Clicks
2026-01,Google Search,278676,189,56,18,4711914,756,235,61
2026-01,LinkedIn,124226,226,42,8,2754872,2034,778,172
2026-01,Trade Show,489480,142,32,10,6830710,568,185,36
2026-01,Partner Referral,307967,78,22,7,5300344,702,130,26
2026-01,Email Nurture,111425,118,31,4,3190396,590,128,31
2026-01,Organic,294995,252,95,16,7972160,1008,367,52
2026-02,Google Search,207043,128,24,7,3398906,896,374,45
2026-02,LinkedIn,216330,56,15,2,474048,560,131,33
2026-02,Trade Show,178384,131,38,11,3103947,917,286,68
2026-02,Partner Referral,131760,237,90,23,13914586,1185,475,97
2026-02,Email Nurture,253515,253,67,17,12238215,1012,199,50
2026-02,Organic,270856,237,82,17,13005561,948,365,64
2026-03,Google Search,217570,83,33,7,5708486,415,162,19
2026-03,LinkedIn,151170,76,25,5,3862380,380,156,15
2026-03,Trade Show,126056,187,43,8,5222376,1870,347,37
2026-03,Partner Referral,395545,63,24,5,2255710,315,85,10
2026-03,Email Nurture,97854,125,23,4,1738000,1000,317,86
2026-03,Organic,229805,133,48,7,4266570,798,330,78
2026-04,Google Search,383419,174,42,5,4007345,870,164,36
2026-04,LinkedIn,148582,128,33,9,2736450,1280,475,80
2026-04,Trade Show,481720,62,18,3,2301768,372,150,12
2026-04,Partner Referral,397100,131,35,6,4290468,1310,294,81
2026-04,Email Nurture,544630,164,45,6,3903942,984,177,14
2026-04,Organic,136044,103,31,9,2188431,515,124,30
2026-05,Google Search,222248,225,88,20,14495900,1575,292,81
2026-05,LinkedIn,118715,210,60,14,9614570,1890,579,99
2026-05,Trade Show,493381,250,69,17,14256795,2250,872,80
2026-05,Partner Referral,441137,189,39,10,8279980,1323,364,93
2026-05,Email Nurture,420380,121,49,8,6346176,847,219,23
2026-05,Organic,92461,229,90,15,10355520,1374,320,77
2026-06,Google Search,200078,146,61,12,7307700,1314,528,64
2026-06,LinkedIn,358121,221,54,17,6728124,884,308,28
2026-06,Trade Show,200603,56,11,2,1304158,224,85,7
2026-06,Partner Referral,179551,229,59,8,6147736,916,349,72
2026-06,Email Nurture,108564,179,62,11,8729655,895,247,49
2026-06,Organic,335474,172,42,9,3674637,688,165,31
2026-07,Google Search,299942,67,13,2,763038,335,107,11
2026-07,LinkedIn,218886,216,59,8,4720096,864,337,77
2026-07,Trade Show,329276,172,34,6,5040990,1548,407,34
2026-07,Partner Referral,233000,78,15,2,913946,390,151,39
2026-07,Email Nurture,507419,68,26,3,1528806,680,189,38
2026-07,Organic,113084,67,26,7,4830560,670,137,15
2026-08,Google Search,249489,237,79,25,11259400,1896,732,191
2026-08,LinkedIn,498449,211,53,14,3355058,2110,424,94
2026-08,Trade Show,160823,240,96,29,20571121,960,348,28
2026-08,Partner Referral,256704,71,29,4,1416588,710,265,55
2026-08,Email Nurture,210441,224,66,16,9540528,2016,599,56
2026-08,Organic,256720,247,90,23,11624154,1729,668,63
