Ticket ID,Customer,Opened Date,Channel,First Response Hours,Resolution Hours,Self Service,CSAT
TKT-00028,Dawn Healthcare,2025-02-28,Chat,5.0,54.1,No,4.4
TKT-00029,Dawn Healthcare,2026-04-15,Chat,17.0,54.3,No,3.0
TKT-00030,Metro Healthcare,2025-02-17,Phone,33.8,85.3,No,3.2
TKT-00031,Delta Systems,2026-04-04,Phone,17.1,41.0,No,3.4
TKT-00032,Indus Education,2025-10-21,Chat,35.4,85.5,No,3.8
TKT-00033,Indus Education,2025-06-21,Portal,31.4,32.4,Yes,4.9
TKT-00034,Westline Systems,2025-12-14,Phone,21.4,89.3,No,3.0
TKT-00035,Orion Industrial,2026-06-29,Portal,6.6,31.4,Yes,4.2
TKT-00036,BluePeak Ltd,2025-02-25,Chat,28.4,37.8,No,3.5
TKT-00037,Kaveri Engineering,2025-02-15,Email,31.1,79.8,No,3.1
TKT-00038,Metro Healthcare,2025-07-07,Web,16.4,47.9,No,3.1
TKT-00039,Aria Components,2025-10-08,Web,1.3,43.7,Yes,4.9
TKT-00040,Kaveri Engineering,2026-02-18,Portal,32.3,47.4,No,4.2
TKT-00041,Zenith Foods,2026-08-08,Email,23.7,44.2,No,4.5
TKT-00042,Summit Manufacturing,2025-10-11,Email,32.6,66.4,No,4.9
TKT-00043,BluePeak Ltd,2025-11-04,Chat,3.1,51.5,No,3.1
TKT-00044,Nova Systems,2025-01-22,Portal,30.7,75.1,No,3.8
TKT-00045,Falcon Logistics,2026-04-24,Web,31.3,69.2,Yes,3.2
TKT-00046,Apex Industries,2026-02-13,Web,28.8,94.9,No,3.2
TKT-00047,Lotus Retail,2025-03-15,Portal,25.2,45.6,Yes,3.1
TKT-00048,Lotus Retail,2026-01-15,Email,25.5,85.0,No,3.8
TKT-00049,Westline Systems,2025-04-24,Chat,1.0,20.4,No,4.1
TKT-00050,Aria Components,2026-03-04,Email,9.2,13.3,No,4.9
TKT-00051,Pioneer Logistics,2025-10-26,Web,19.7,85.9,No,3.5
TKT-00052,BluePeak Ltd,2025-01-03,Email,15.2,24.0,No,3.9
TKT-00053,Cobalt Systems,2025-09-17,Chat,2.3,64.0,No,3.7
TKT-00054,Westline Systems,2025-12-11,Chat,4.1,29.3,No,3.7
TKT-00055,Delta Systems,2025-10-07,Portal,1.5,39.7,Yes,5.0
TKT-00056,Westline Systems,2026-08-18,Email,11.2,14.1,No,3.1
TKT-00057,Gamma Manufacturing,2026-08-27,Portal,10.3,32.0,Yes,3.3
TKT-00058,Aria Components,2025-09-21,Email,30.3,77.0,No,4.9
TKT-00059,Gamma Manufacturing,2026-02-12,Chat,5.7,52.7,No,3.3
TKT-00060,Eagle Retail,2025-06-03,Email,32.7,89.3,No,3.3
TKT-00061,Vertex Health,2025-08-19,Portal,25.3,34.5,No,3.5
TKT-00062,Vertex Health,2026-01-04,Chat,4.4,14.3,No,4.8
TKT-00063,Evergreen Health,2025-08-17,Phone,0.8,17.1,No,4.1
TKT-00064,Urban Retail,2026-05-21,Chat,18.5,52.7,No,4.0
TKT-00065,Jupiter Foods,2026-07-26,Phone,18.4,64.9,No,3.2
TKT-00066,Gamma Manufacturing,2026-04-21,Email,22.7,57.9,No,4.8
TKT-00067,Orion Industrial,2025-08-10,Web,13.3,46.4,No,3.1
TKT-00068,Crescent Retail,2025-05-03,Portal,12.3,43.7,Yes,3.4
TKT-00069,Urban Retail,2025-05-26,Phone,33.1,86.4,No,4.4
TKT-00070,Metro Healthcare,2025-02-19,Portal,10.9,51.7,No,3.1
TKT-00071,BrightPath Consulting,2026-07-29,Chat,35.4,71.7,No,3.0
TKT-00072,Lotus Retail,2025-04-13,Chat,13.0,40.2,No,4.4
TKT-00073,Metro Healthcare,2025-04-07,Portal,7.5,69.4,No,3.7
TKT-00074,Delta Systems,2025-05-24,Portal,3.8,17.8,No,3.6
TKT-00075,Indus Education,2025-10-06,Web,13.7,43.4,Yes,3.2
TKT-00076,Falcon Logistics,2026-03-09,Chat,2.7,34.9,No,3.8
TKT-00077,Summit Manufacturing,2026-07-24,Portal,32.6,60.7,Yes,3.9
TKT-00078,Zenith Foods,2025-06-02,Email,19.4,72.9,No,3.3
TKT-00079,Orion Industrial,2025-01-04,Chat,27.7,53.9,No,4.4
TKT-00080,Dawn Healthcare,2026-07-04,Email,5.8,12.7,No,5.0
TKT-00081,Westline Systems,2025-08-24,Phone,5.7,73.4,No,4.6
TKT-00082,Kaveri Engineering,2026-05-08,Portal,16.3,56.9,Yes,3.9
TKT-00083,Zenith Foods,2025-12-17,Web,21.6,35.9,Yes,3.2
TKT-00084,Crescent Retail,2025-03-10,Portal,30.8,53.0,Yes,4.2
TKT-00085,Dawn Healthcare,2025-09-24,Web,34.3,41.1,No,4.4
TKT-00086,Vertex Health,2026-03-09,Chat,6.0,39.3,No,4.7
TKT-00087,Lotus Retail,2026-03-30,Portal,20.5,66.3,No,4.0
TKT-00088,Nova Systems,2026-01-05,Web,13.3,63.0,Yes,3.9
TKT-00089,BluePeak Ltd,2025-11-29,Web,26.6,78.0,Yes,3.5
TKT-00090,Westline Systems,2025-08-01,Web,6.9,18.1,No,3.8
TKT-00091,Orion Industrial,2025-01-17,Email,10.0,24.0,No,3.4
TKT-00092,Delta Systems,2025-04-09,Chat,10.4,61.3,No,3.9
TKT-00093,Eagle Retail,2025-05-28,Email,5.9,38.4,No,4.2
TKT-00094,Trinity Services,2026-06-26,Email,12.1,68.2,No,4.5
TKT-00095,Quantum Tech,2025-01-22,Chat,3.8,54.5,No,4.6
TKT-00096,Jupiter Foods,2025-04-04,Portal,19.2,71.8,Yes,4.0
TKT-00097,Nova Systems,2026-06-03,Phone,18.9,59.7,No,4.2
TKT-00098,Delta Systems,2026-01-15,Web,21.9,80.1,Yes,3.7
TKT-00099,BrightPath Consulting,2025-10-05,Web,13.9,22.5,No,4.9
TKT-00100,Metro Healthcare,2025-11-27,Email,5.8,69.3,No,4.5
TKT-00101,Evergreen Health,2026-04-24,Email,18.5,24.4,No,5.0
TKT-00102,Kaveri Engineering,2025-10-29,Phone,27.7,38.4,No,4.1
TKT-00103,Dawn Healthcare,2025-06-11,Chat,4.5,56.4,No,4.9
TKT-00104,Horizon Tech,2026-03-27,Portal,32.1,48.9,Yes,3.1
TKT-00105,Apex Industries,2025-01-25,Email,29.5,57.0,No,4.2
TKT-00106,Lotus Retail,2026-03-06,Email,6.7,72.4,No,4.3
TKT-00107,Falcon Logistics,2026-01-19,Portal,19.4,83.6,Yes,3.7
TKT-00108,Fusion Logistics,2026-02-12,Email,20.5,29.9,No,4.6
TKT-00109,Fusion Logistics,2026-02-27,Web,8.2,41.5,Yes,4.6
TKT-00110,Delta Systems,2026-07-03,Email,18.7,61.3,No,4.0
TKT-00111,Cobalt Systems,2025-02-09,Email,33.2,37.8,No,4.6
TKT-00112,Urban Retail,2026-02-07,Portal,20.5,35.7,Yes,4.6
TKT-00113,Metro Healthcare,2025-05-08,Phone,13.3,54.1,No,3.1
TKT-00114,Gamma Manufacturing,2025-03-16,Chat,0.5,42.8,No,4.9
TKT-00115,Orion Industrial,2025-07-08,Email,2.1,40.5,No,3.5
TKT-00116,Urban Retail,2025-04-27,Phone,20.3,60.1,No,4.6
TKT-00117,Evergreen Health,2025-09-19,Phone,2.1,55.2,No,4.3
TKT-00118,Horizon Tech,2025-01-27,Email,18.1,60.9,No,4.3
TKT-00119,Cobalt Systems,2026-01-25,Web,23.4,58.2,No,3.7
TKT-00120,Evergreen Health,2025-09-25,Portal,26.8,28.4,Yes,4.2
TKT-00121,Jupiter Foods,2026-08-22,Email,17.2,62.8,No,4.1
TKT-00122,Westline Systems,2026-08-21,Chat,9.1,71.9,No,3.4
TKT-00123,Falcon Logistics,2025-01-17,Chat,21.6,86.3,No,4.7
TKT-00124,Lotus Retail,2025-08-06,Portal,1.9,41.9,Yes,3.9
TKT-00125,Eagle Retail,2025-12-06,Phone,21.3,29.5,No,3.2
TKT-00126,Delta Systems,2025-01-13,Portal,16.5,44.3,No,4.1
TKT-00127,Urban Retail,2026-06-30,Portal,9.5,41.1,No,4.3
TKT-00128,Urban Retail,2026-06-27,Web,2.1,70.5,No,3.8
TKT-00129,Vertex Health,2026-08-12,Phone,29.9,69.1,No,3.1
TKT-00130,Orion Industrial,2025-06-21,Chat,4.4,67.5,No,4.0
TKT-00131,Metro Healthcare,2025-06-10,Portal,2.4,30.9,Yes,4.8
TKT-00132,Nova Systems,2026-01-17,Chat,28.2,87.1,No,3.5
TKT-00133,Jupiter Foods,2025-10-08,Email,31.4,93.1,No,4.4
TKT-00134,Nova Systems,2026-03-23,Web,2.4,8.9,No,4.5
TKT-00135,Crescent Retail,2026-05-23,Portal,1.3,47.6,No,4.8
TKT-00136,Trinity Services,2025-09-13,Phone,8.1,12.2,No,4.4
TKT-00137,Urban Retail,2026-04-26,Email,15.7,24.0,No,5.0
TKT-00138,Pioneer Logistics,2026-06-06,Web,11.6,46.4,Yes,3.9
TKT-00139,Jupiter Foods,2025-10-15,Email,17.9,51.7,No,3.7
TKT-00140,Evergreen Health,2026-03-06,Web,32.0,84.1,Yes,3.3
TKT-00141,Quantum Tech,2025-10-13,Chat,5.8,51.0,No,4.3
TKT-00142,Lotus Retail,2025-02-20,Portal,11.0,20.5,Yes,4.2
TKT-00143,Quantum Tech,2025-03-12,Portal,7.4,46.7,Yes,3.7
TKT-00144,Jupiter Foods,2025-01-05,Web,16.5,43.5,Yes,4.3
TKT-00145,Aria Components,2025-05-20,Phone,30.1,79.8,No,4.5
TKT-00146,Cobalt Systems,2026-08-01,Email,36.0,63.5,No,4.0
TKT-00147,Pioneer Logistics,2026-05-06,Email,14.3,57.3,No,3.6
TKT-00148,Metro Healthcare,2025-12-28,Chat,29.0,73.7,No,4.8
TKT-00149,Aria Components,2026-07-03,Phone,18.8,32.2,No,3.3
TKT-00150,Zenith Foods,2025-07-29,Web,12.9,82.6,Yes,3.9
TKT-00151,Gamma Manufacturing,2025-07-05,Email,7.1,48.6,No,4.7
TKT-00152,BrightPath Consulting,2025-02-23,Chat,31.3,88.9,No,3.3
TKT-00153,Westline Systems,2026-01-28,Phone,31.0,65.6,No,4.3
TKT-00154,Metro Healthcare,2026-08-20,Phone,1.9,54.5,No,4.9
TKT-00155,Vertex Health,2026-05-10,Web,29.1,37.3,Yes,3.5
TKT-00156,Metro Healthcare,2025-03-27,Chat,10.3,65.1,No,3.7
TKT-00157,Falcon Logistics,2026-03-25,Email,34.2,103.2,No,4.5
TKT-00158,Westline Systems,2026-02-18,Email,27.2,88.8,No,3.6
TKT-00159,Metro Healthcare,2025-01-20,Portal,28.8,85.4,Yes,3.3
TKT-00160,Orion Industrial,2026-08-02,Portal,16.1,28.3,Yes,3.1
TKT-00161,Summit Manufacturing,2026-03-06,Phone,0.9,31.7,No,4.0
TKT-00162,Riverstone Ltd,2025-07-16,Portal,10.3,72.2,No,3.3
TKT-00163,BluePeak Ltd,2025-09-03,Web,17.4,87.0,No,3.6
TKT-00164,Riverstone Ltd,2026-07-20,Web,31.6,100.0,Yes,3.1
TKT-00165,Fusion Logistics,2026-03-28,Portal,8.6,30.0,Yes,4.6
TKT-00166,Lotus Retail,2025-02-26,Email,23.4,38.1,No,3.9
TKT-00167,Nova Systems,2026-07-30,Web,3.9,28.9,Yes,3.0
TKT-00168,Jupiter Foods,2026-03-28,Portal,1.8,6.7,Yes,4.7
TKT-00169,Vertex Health,2025-06-28,Chat,28.8,62.6,No,3.5
TKT-00170,Evergreen Health,2025-11-07,Email,29.6,72.4,No,3.3
TKT-00171,Fusion Logistics,2025-08-11,Chat,14.4,39.9,No,3.1
TKT-00172,Nova Systems,2026-02-26,Portal,17.3,47.9,Yes,3.3
TKT-00173,Trinity Services,2025-02-09,Web,17.9,81.3,Yes,3.6
TKT-00174,Gamma Manufacturing,2026-01-02,Chat,30.5,70.4,No,4.5
TKT-00175,Nova Systems,2025-02-08,Portal,32.0,59.8,Yes,3.5
TKT-00176,Eagle Retail,2026-03-11,Email,10.7,52.2,No,4.6
TKT-00177,Orion Industrial,2025-04-05,Email,6.6,75.3,No,4.8
TKT-00178,Crescent Retail,2025-10-22,Portal,31.6,54.5,No,3.7
TKT-00179,Delta Systems,2025-06-03,Web,6.2,58.8,No,4.7
TKT-00180,Fusion Logistics,2025-10-30,Chat,12.8,60.7,No,3.3
TKT-00181,Gamma Manufacturing,2025-03-07,Web,11.9,33.4,No,3.3
TKT-00182,Trinity Services,2025-11-10,Web,20.0,42.8,Yes,3.2
TKT-00183,Pioneer Logistics,2025-02-06,Phone,32.5,67.7,No,4.4
TKT-00184,Zenith Foods,2025-07-14,Phone,27.8,82.5,No,4.3
TKT-00185,Riverstone Ltd,2025-08-27,Email,31.3,58.0,No,3.2
TKT-00186,Cobalt Systems,2025-04-27,Phone,30.1,44.9,No,4.7
TKT-00187,Jupiter Foods,2026-07-10,Portal,20.6,42.9,Yes,3.6
TKT-00188,Fusion Logistics,2025-10-29,Phone,26.2,97.2,No,3.6
TKT-00189,Apex Industries,2025-08-30,Portal,7.9,10.1,Yes,3.1
TKT-00190,Crescent Retail,2025-06-13,Email,32.5,71.1,No,4.4
TKT-00191,Horizon Tech,2025-11-28,Portal,20.8,25.7,Yes,4.0
TKT-00192,Lotus Retail,2025-05-11,Phone,3.7,67.5,No,4.6
TKT-00193,Westline Systems,2025-12-19,Portal,35.3,60.2,No,4.2
TKT-00194,Fusion Logistics,2025-06-25,Web,35.8,95.8,Yes,3.8
TKT-00195,Jupiter Foods,2025-01-03,Web,1.7,72.4,Yes,3.2
TKT-00196,Trinity Services,2026-03-10,Chat,19.5,27.2,No,3.4
TKT-00197,Riverstone Ltd,2025-05-15,Portal,35.0,69.7,No,4.4
TKT-00198,Urban Retail,2025-08-22,Web,26.0,81.7,No,4.6
TKT-00199,Jupiter Foods,2026-03-30,Web,32.6,55.1,No,4.7
TKT-00200,Evergreen Health,2025-02-28,Chat,14.4,37.3,No,3.3
TKT-00201,Westline Systems,2025-01-05,Email,27.2,55.0,No,4.0
TKT-00202,Pioneer Logistics,2025-07-24,Chat,15.3,81.4,No,3.8
TKT-00203,Zenith Foods,2026-01-15,Email,5.2,9.1,No,4.4
TKT-00204,Eagle Retail,2026-01-27,Email,12.6,32.7,No,4.9
TKT-00205,Lotus Retail,2025-04-25,Email,30.3,67.0,No,4.5
TKT-00206,Jupiter Foods,2025-04-09,Portal,28.8,83.8,Yes,3.9
TKT-00207,Westline Systems,2025-04-10,Web,35.7,90.3,Yes,4.2
TKT-00208,Metro Healthcare,2026-01-16,Phone,19.0,59.9,No,4.2
TKT-00209,Aria Components,2026-01-04,Email,9.4,39.0,No,3.2
TKT-00210,Metro Healthcare,2025-05-18,Web,28.7,62.2,No,4.1
TKT-00211,Crescent Retail,2026-03-20,Web,16.2,64.5,No,4.4
TKT-00212,Trinity Services,2025-03-12,Portal,11.4,51.2,Yes,4.2
TKT-00213,Delta Systems,2025-02-28,Phone,14.6,67.6,No,4.2
TKT-00214,Quantum Tech,2026-03-20,Email,30.7,94.3,No,3.5
TKT-00215,Kaveri Engineering,2025-11-02,Email,13.2,26.1,No,4.5
TKT-00216,Nova Systems,2025-12-22,Portal,18.0,84.9,Yes,4.0
TKT-00217,Gamma Manufacturing,2025-04-09,Portal,6.6,23.9,No,4.2
TKT-00218,Summit Manufacturing,2025-06-30,Chat,34.0,36.4,No,4.5
TKT-00219,Aria Components,2025-01-30,Portal,16.7,43.2,Yes,3.7
TKT-00220,BluePeak Ltd,2025-02-02,Chat,8.0,34.0,No,4.6
TKT-00221,Metro Healthcare,2026-01-31,Web,33.7,89.1,Yes,4.0
TKT-00222,Indus Education,2026-02-28,Web,26.8,45.0,No,3.0
TKT-00223,BluePeak Ltd,2026-03-16,Chat,27.6,52.8,No,3.4
TKT-00224,BrightPath Consulting,2026-01-16,Phone,30.7,69.0,No,3.0
TKT-00225,Delta Systems,2026-08-22,Phone,7.3,38.5,No,4.2
TKT-00226,Pioneer Logistics,2026-03-12,Portal,11.4,16.1,Yes,4.5
TKT-00227,Delta Systems,2025-05-29,Email,20.3,57.6,No,3.1
TKT-00228,Evergreen Health,2025-10-04,Portal,31.0,56.7,No,4.1
TKT-00229,Riverstone Ltd,2026-08-23,Portal,5.4,59.0,No,4.5
TKT-00230,Lotus Retail,2025-08-25,Chat,4.8,30.4,No,4.9
TKT-00231,Apex Industries,2026-03-14,Chat,9.4,35.7,No,3.6
TKT-00232,Nova Systems,2026-01-09,Web,0.7,3.2,Yes,3.6
TKT-00233,Cobalt Systems,2026-07-27,Phone,34.0,42.2,No,3.2
TKT-00234,Eagle Retail,2025-10-31,Portal,28.9,43.5,Yes,3.6
TKT-00235,Vertex Health,2025-05-11,Chat,16.7,21.9,No,4.6
TKT-00236,Metro Healthcare,2026-03-11,Email,17.7,45.2,No,3.3
TKT-00237,Apex Industries,2025-07-14,Chat,13.2,39.9,No,4.6
TKT-00238,Quantum Tech,2026-02-09,Web,23.8,71.0,Yes,4.7
TKT-00239,Falcon Logistics,2026-03-29,Portal,8.6,74.7,Yes,4.3
TKT-00240,Kaveri Engineering,2025-12-21,Phone,18.0,64.2,No,3.9
TKT-00241,Nova Systems,2026-05-11,Portal,24.8,40.9,Yes,4.1
TKT-00242,BluePeak Ltd,2025-12-27,Portal,34.9,62.6,Yes,4.2
TKT-00243,Westline Systems,2026-02-24,Phone,17.7,57.6,No,4.5
TKT-00244,Urban Retail,2026-07-22,Web,30.8,71.6,No,3.9
TKT-00245,BluePeak Ltd,2026-01-23,Email,11.6,32.7,No,4.7
TKT-00246,Vertex Health,2025-06-07,Portal,15.4,44.3,Yes,3.6
TKT-00247,Dawn Healthcare,2026-01-23,Email,30.2,58.9,No,4.3
TKT-00248,Summit Manufacturing,2025-08-07,Web,19.0,76.5,Yes,3.8
TKT-00249,Cobalt Systems,2026-06-24,Chat,0.6,24.8,No,4.6
TKT-00250,Horizon Tech,2025-04-26,Portal,19.6,28.2,No,3.2
TKT-00251,Summit Manufacturing,2025-11-09,Email,11.7,58.5,No,3.5
TKT-00252,Delta Systems,2025-01-10,Portal,17.6,35.9,No,3.3
TKT-00253,Crescent Retail,2025-02-06,Portal,13.8,42.2,Yes,4.9
TKT-00254,Horizon Tech,2026-07-28,Web,35.0,75.7,Yes,3.0
TKT-00255,Evergreen Health,2025-12-21,Web,31.2,36.1,No,3.2
TKT-00256,Apex Industries,2026-05-08,Phone,9.5,63.0,No,4.7
TKT-00257,Gamma Manufacturing,2025-01-27,Phone,35.8,85.1,No,4.7
TKT-00258,Indus Education,2026-05-11,Phone,34.3,66.4,No,3.9
TKT-00259,Aria Components,2026-04-14,Web,11.4,82.2,Yes,3.8
TKT-00260,Indus Education,2025-10-15,Phone,8.3,16.6,No,3.9
TKT-00261,Pioneer Logistics,2026-03-04,Email,28.6,92.1,No,3.6
TKT-00262,Zenith Foods,2025-10-14,Email,30.8,46.9,No,3.6
TKT-00263,Indus Education,2025-11-29,Web,21.3,60.2,Yes,4.3
TKT-00264,Riverstone Ltd,2025-04-06,Phone,18.0,38.5,No,4.9
TKT-00265,Jupiter Foods,2025-11-30,Chat,16.2,64.5,No,3.3
TKT-00266,Falcon Logistics,2025-01-04,Email,14.5,20.1,No,3.6
TKT-00267,Pioneer Logistics,2025-07-08,Chat,14.9,17.0,No,3.1
TKT-00268,Pioneer Logistics,2025-06-05,Email,17.1,59.2,No,4.3
TKT-00269,Dawn Healthcare,2026-06-25,Portal,35.8,48.5,Yes,4.2
TKT-00270,Zenith Foods,2025-01-18,Email,32.4,70.2,No,4.6
TKT-00271,Cobalt Systems,2025-11-26,Portal,35.5,60.7,No,3.8
TKT-00272,Apex Industries,2025-03-01,Web,4.7,76.3,Yes,3.5
TKT-00273,Trinity Services,2026-07-25,Chat,2.0,19.7,No,4.3
TKT-00274,Fusion Logistics,2026-01-15,Web,4.0,54.3,No,4.2
TKT-00275,Gamma Manufacturing,2026-03-12,Portal,33.8,94.8,Yes,3.0
TKT-00276,BluePeak Ltd,2025-02-12,Web,18.9,65.5,No,3.8
TKT-00277,Evergreen Health,2026-03-03,Chat,27.7,89.2,No,3.6
TKT-00278,Kaveri Engineering,2025-09-18,Web,34.6,85.6,Yes,4.0
TKT-00279,Apex Industries,2025-03-04,Web,9.1,51.0,Yes,3.4
TKT-00280,Crescent Retail,2026-05-06,Web,33.6,34.6,Yes,4.5
TKT-00281,Metro Healthcare,2025-07-16,Chat,11.7,46.5,No,3.7
TKT-00282,Cobalt Systems,2026-07-30,Portal,36.0,63.3,Yes,4.3
TKT-00283,Eagle Retail,2025-12-03,Phone,3.5,22.7,No,3.4
TKT-00284,Delta Systems,2025-03-28,Portal,13.7,51.4,Yes,3.7
TKT-00285,Metro Healthcare,2026-03-14,Email,29.5,68.8,No,3.7
TKT-00286,Quantum Tech,2026-08-04,Email,16.7,38.4,No,4.8
TKT-00287,BluePeak Ltd,2025-10-21,Portal,34.8,88.3,Yes,4.9
TKT-00288,Metro Healthcare,2025-01-12,Phone,2.0,11.0,No,3.2
TKT-00289,Horizon Tech,2025-10-14,Phone,4.4,49.2,No,4.5
TKT-00290,Orion Industrial,2026-08-04,Chat,28.5,87.2,No,4.9
TKT-00291,Aria Components,2025-09-11,Portal,7.8,64.8,No,3.2
TKT-00292,Fusion Logistics,2026-03-11,Email,31.4,80.0,No,4.8
TKT-00293,Crescent Retail,2026-03-02,Chat,35.2,89.0,No,3.6
TKT-00294,Kaveri Engineering,2025-02-03,Portal,13.6,42.9,No,4.4
TKT-00295,Cobalt Systems,2025-07-24,Phone,16.2,20.7,No,4.7
TKT-00296,Gamma Manufacturing,2026-07-31,Portal,19.3,26.5,Yes,3.1
TKT-00297,Riverstone Ltd,2025-08-26,Email,25.2,49.6,No,3.1
TKT-00298,Apex Industries,2026-03-31,Portal,3.0,69.8,Yes,3.6
TKT-00299,Summit Manufacturing,2026-03-10,Chat,16.8,62.4,No,4.8
TKT-00300,Fusion Logistics,2025-10-17,Phone,33.1,62.7,No,4.6
TKT-00301,Trinity Services,2025-11-29,Email,2.8,55.7,No,3.2
TKT-00302,Pioneer Logistics,2025-09-12,Chat,11.9,77.9,No,4.7
TKT-00303,Vertex Health,2025-05-07,Email,16.9,82.5,No,3.2
TKT-00304,Urban Retail,2026-05-28,Web,32.5,102.3,Yes,3.9
TKT-00305,Gamma Manufacturing,2025-01-08,Email,23.1,59.2,No,3.9
TKT-00306,Dawn Healthcare,2025-09-12,Email,12.1,79.8,No,4.8
TKT-00307,BrightPath Consulting,2025-10-02,Phone,22.3,34.3,No,4.6
TKT-00308,Quantum Tech,2025-02-03,Phone,10.8,44.9,No,3.7
TKT-00309,Jupiter Foods,2025-10-16,Portal,16.1,77.6,Yes,5.0
TKT-00310,Lotus Retail,2026-02-23,Web,18.1,80.6,Yes,3.5
TKT-00311,Falcon Logistics,2025-03-28,Email,6.6,48.3,No,3.0
TKT-00312,Summit Manufacturing,2025-05-31,Chat,25.6,57.8,No,3.6
TKT-00313,Westline Systems,2025-10-17,Web,34.6,78.0,Yes,4.7
TKT-00314,Metro Healthcare,2025-06-17,Web,33.6,86.9,No,4.0
TKT-00315,Falcon Logistics,2026-01-28,Chat,29.9,85.2,No,3.7
TKT-00316,Kaveri Engineering,2026-07-08,Portal,17.6,42.7,Yes,3.8
TKT-00317,Cobalt Systems,2025-09-04,Web,2.2,29.0,No,3.7
TKT-00318,Aria Components,2025-06-01,Chat,12.5,52.3,No,3.1
TKT-00319,Horizon Tech,2025-09-07,Portal,3.9,20.6,Yes,3.3
TKT-00320,Jupiter Foods,2025-05-11,Portal,15.1,52.1,Yes,3.9
TKT-00321,Zenith Foods,2026-07-10,Web,5.4,19.1,No,4.3
TKT-00322,Kaveri Engineering,2025-04-28,Portal,3.6,14.2,Yes,3.6
TKT-00323,Cobalt Systems,2026-08-04,Web,16.4,85.9,Yes,3.5
TKT-00324,Eagle Retail,2025-04-16,Phone,5.5,10.7,No,3.6
TKT-00325,Falcon Logistics,2026-01-07,Portal,33.7,104.3,Yes,3.3
TKT-00326,Summit Manufacturing,2026-03-22,Web,17.8,68.2,Yes,3.6
TKT-00327,Aria Components,2025-01-26,Email,8.5,44.2,No,4.1
TKT-00328,Urban Retail,2025-11-08,Email,20.2,39.3,No,3.0
TKT-00329,Metro Healthcare,2025-11-17,Phone,26.0,44.4,No,4.3
TKT-00330,Nova Systems,2025-09-02,Email,11.4,80.1,No,4.2
TKT-00331,Vertex Health,2025-11-25,Chat,5.2,13.3,No,4.1
TKT-00332,Aria Components,2025-04-29,Email,11.5,20.6,No,4.1
TKT-00333,BrightPath Consulting,2025-12-17,Web,34.1,72.7,No,4.9
TKT-00334,Orion Industrial,2025-04-11,Email,21.3,66.6,No,4.5
TKT-00335,Aria Components,2025-09-15,Portal,26.9,80.7,No,3.0
TKT-00336,BrightPath Consulting,2025-01-08,Portal,3.9,41.3,Yes,3.1
TKT-00337,Evergreen Health,2026-08-07,Email,17.1,45.3,No,3.4
TKT-00338,Trinity Services,2025-07-04,Portal,11.1,62.2,Yes,4.8
TKT-00339,Pioneer Logistics,2025-03-07,Portal,10.2,38.5,No,3.8
TKT-00340,Lotus Retail,2026-01-19,Chat,34.3,39.8,No,4.8
TKT-00341,Orion Industrial,2026-04-29,Portal,8.7,75.6,Yes,4.3
TKT-00342,Pioneer Logistics,2025-08-12,Email,27.1,81.0,No,4.3
TKT-00343,Falcon Logistics,2026-05-12,Phone,6.5,28.6,No,4.9
