Opportunity ID,Customer,Salesperson,Region,Industry,Stage,Deal Value,Probability,Expected Revenue,Lead Source,Created Date,Expected Close,Marketing Campaign
OPP-0086,Summit Manufacturing,Kabir,South,Retail,Won,4125000,1.0,4125000,Email Nurture,2025-03-28,2025-04-25,Email Nurture
OPP-0087,Metro Healthcare,Meera,West,Healthcare,Proposal,1487000,0.5,743500,Partner Referral,2026-06-13,2026-07-23,Partner Referral
OPP-0088,Urban Retail,Aarav,East,IT Services,Won,3621000,1.0,3621000,LinkedIn,2025-10-17,2026-02-14,LinkedIn
OPP-0089,Aria Components,Sana,West,Healthcare,Qualified,2616000,0.25,654000,LinkedIn,2026-04-29,2026-08-31,LinkedIn
OPP-0090,Lotus Retail,Kabir,East,Logistics,Won,3959000,1.0,3959000,Trade Show,2025-12-17,2026-02-18,Trade Show
OPP-0091,Vertex Health,Aarav,West,Logistics,Lead,2865000,0.1,286500,Google Search,2026-04-02,2026-06-26,Google Search
OPP-0092,Metro Healthcare,Diya,East,Manufacturing,Qualified,3808000,0.25,952000,Trade Show,2026-04-26,2026-08-27,Trade Show
OPP-0093,Lotus Retail,Sana,West,Education,Lead,3393000,0.1,339300,LinkedIn,2025-05-23,2025-06-26,LinkedIn
OPP-0094,Eagle Retail,Rohan,South,Manufacturing,Lost,2347000,0.0,0,Google Search,2026-07-16,2026-12-03,Google Search
OPP-0095,Nova Systems,Diya,South,Retail,Lost,3241000,0.0,0,LinkedIn,2026-02-13,2026-07-04,LinkedIn
OPP-0096,Kaveri Engineering,Rohan,West,Education,Lead,2944000,0.1,294400,Google Search,2025-07-31,2025-10-05,Google Search
OPP-0097,Cobalt Systems,Rohan,East,Manufacturing,Negotiation,4178000,0.7,2924600,Google Search,2025-07-22,2025-10-17,Google Search
OPP-0098,BluePeak Ltd,Kabir,West,Logistics,Lost,3603000,0.0,0,Trade Show,2025-09-08,2026-01-09,Trade Show
OPP-0099,Pioneer Logistics,Rohan,West,Retail,Lead,2461000,0.1,246100,Google Search,2025-10-06,2025-11-22,Google Search
OPP-0100,Vertex Health,Aarav,East,Logistics,Won,4102000,1.0,4102000,Organic,2026-04-21,2026-07-14,Organic
OPP-0101,Eagle Retail,Diya,North,Retail,Qualified,3258000,0.25,814500,Email Nurture,2025-11-22,2026-01-09,Email Nurture
OPP-0102,BrightPath Consulting,Aarav,North,Retail,Won,1795000,1.0,1795000,LinkedIn,2026-06-08,2026-11-03,LinkedIn
OPP-0103,Metro Healthcare,Meera,West,Retail,Won,3535000,1.0,3535000,Trade Show,2026-03-19,2026-08-15,Trade Show
OPP-0104,Riverstone Ltd,Sana,East,IT Services,Proposal,2878000,0.5,1439000,LinkedIn,2025-03-14,2025-06-24,LinkedIn
OPP-0105,Falcon Logistics,Aarav,North,Healthcare,Lead,2186000,0.1,218600,Email Nurture,2025-01-01,2025-04-27,Email Nurture
OPP-0106,Cobalt Systems,Aarav,South,Logistics,Lost,393000,0.0,0,Trade Show,2025-09-23,2025-11-23,Trade Show
OPP-0107,Lotus Retail,Meera,East,Manufacturing,Qualified,4154000,0.25,1038500,LinkedIn,2026-08-13,2026-10-18,LinkedIn
OPP-0108,Indus Education,Kabir,East,Healthcare,Lead,1614000,0.1,161400,Organic,2025-05-28,2025-09-27,Organic
OPP-0109,Dawn Healthcare,Rohan,North,Retail,Qualified,3701000,0.25,925250,Trade Show,2026-01-15,2026-03-17,Trade Show
OPP-0110,Urban Retail,Rohan,East,Retail,Proposal,2889000,0.5,1444500,LinkedIn,2025-09-09,2026-01-06,LinkedIn
OPP-0111,BluePeak Ltd,Meera,South,Healthcare,Negotiation,3363000,0.7,2354100,Email Nurture,2025-06-08,2025-07-05,Email Nurture
OPP-0112,Nova Systems,Sana,South,IT Services,Proposal,2398000,0.5,1199000,Partner Referral,2026-03-10,2026-08-04,Partner Referral
OPP-0113,Pioneer Logistics,Aarav,West,Retail,Won,2365000,1.0,2365000,Trade Show,2026-06-28,2026-07-23,Trade Show
OPP-0114,Horizon Tech,Kabir,West,Logistics,Proposal,626000,0.5,313000,Trade Show,2025-09-29,2025-10-18,Trade Show
OPP-0115,Falcon Logistics,Sana,West,Retail,Lead,1554000,0.1,155400,Partner Referral,2025-07-10,2025-10-21,Partner Referral
OPP-0116,Cobalt Systems,Diya,West,Education,Qualified,2958000,0.25,739500,Email Nurture,2026-05-11,2026-07-12,Email Nurture
OPP-0117,Aria Components,Rohan,East,Education,Qualified,413000,0.25,103250,Partner Referral,2025-03-23,2025-05-15,Partner Referral
OPP-0118,Jupiter Foods,Rohan,South,Education,Proposal,1471000,0.5,735500,Partner Referral,2026-04-30,2026-07-04,Partner Referral
OPP-0119,Urban Retail,Aarav,South,Logistics,Won,1729000,1.0,1729000,Email Nurture,2025-02-28,2025-06-05,Email Nurture
OPP-0120,Zenith Foods,Sana,North,Manufacturing,Proposal,2052000,0.5,1026000,Organic,2025-01-01,2025-02-28,Organic
OPP-0121,Trinity Services,Sana,West,IT Services,Qualified,3059000,0.25,764750,Google Search,2025-07-31,2025-12-03,Google Search
OPP-0122,Pioneer Logistics,Meera,North,IT Services,Lead,149000,0.1,14900,Organic,2025-07-28,2025-09-01,Organic
OPP-0123,Aria Components,Sana,North,Manufacturing,Negotiation,4062000,0.7,2843400,LinkedIn,2026-05-10,2026-07-14,LinkedIn
OPP-0124,Jupiter Foods,Rohan,North,Retail,Won,3320000,1.0,3320000,LinkedIn,2026-08-03,2026-09-19,LinkedIn
OPP-0125,Summit Manufacturing,Kabir,West,Healthcare,Proposal,3262000,0.5,1631000,Organic,2025-07-01,2025-08-02,Organic
OPP-0126,Evergreen Health,Kabir,West,Logistics,Lost,256000,0.0,0,Google Search,2025-11-09,2026-01-19,Google Search
OPP-0127,Westline Systems,Sana,North,Education,Won,1359000,1.0,1359000,Partner Referral,2026-04-16,2026-07-29,Partner Referral
OPP-0128,Dawn Healthcare,Kabir,North,IT Services,Qualified,2200000,0.25,550000,Google Search,2025-02-07,2025-06-10,Google Search
OPP-0129,Lotus Retail,Aarav,West,Healthcare,Negotiation,1988000,0.7,1391600,Trade Show,2025-12-14,2026-02-03,Trade Show
OPP-0130,Falcon Logistics,Diya,West,Logistics,Lead,341000,0.1,34100,Organic,2025-04-16,2025-06-06,Organic
OPP-0131,BluePeak Ltd,Kabir,North,Healthcare,Proposal,1223000,0.5,611500,LinkedIn,2026-04-02,2026-05-27,LinkedIn
OPP-0132,Gamma Manufacturing,Kabir,South,Education,Qualified,1726000,0.25,431500,Google Search,2025-03-24,2025-06-17,Google Search
OPP-0133,Crescent Retail,Kabir,South,Healthcare,Proposal,1510000,0.5,755000,Trade Show,2026-05-28,2026-10-13,Trade Show
OPP-0134,Indus Education,Diya,West,Education,Proposal,1913000,0.5,956500,Email Nurture,2025-06-04,2025-08-28,Email Nurture
OPP-0135,BrightPath Consulting,Meera,West,Retail,Proposal,2969000,0.5,1484500,Google Search,2026-01-29,2026-04-13,Google Search
OPP-0136,Delta Systems,Kabir,South,IT Services,Lead,2576000,0.1,257600,Email Nurture,2026-04-11,2026-07-12,Email Nurture
OPP-0137,Fusion Logistics,Meera,North,Education,Lead,91000,0.1,9100,Google Search,2025-04-12,2025-07-22,Google Search
OPP-0138,Jupiter Foods,Rohan,West,Manufacturing,Proposal,2784000,0.5,1392000,LinkedIn,2025-12-05,2026-01-20,LinkedIn
OPP-0139,Nova Systems,Aarav,South,Education,Won,2851000,1.0,2851000,LinkedIn,2025-12-31,2026-05-11,LinkedIn
OPP-0140,BrightPath Consulting,Diya,East,IT Services,Won,3641000,1.0,3641000,Partner Referral,2026-06-19,2026-08-23,Partner Referral
OPP-0141,BrightPath Consulting,Sana,South,Education,Won,693000,1.0,693000,Trade Show,2025-05-24,2025-08-23,Trade Show
OPP-0142,Delta Systems,Diya,West,Education,Won,2241000,1.0,2241000,Email Nurture,2026-02-03,2026-02-25,Email Nurture
OPP-0143,Horizon Tech,Rohan,West,IT Services,Proposal,1664000,0.5,832000,Partner Referral,2025-03-27,2025-07-11,Partner Referral
OPP-0144,Apex Industries,Rohan,South,Manufacturing,Qualified,2642000,0.25,660500,Organic,2025-05-03,2025-08-24,Organic
OPP-0145,Riverstone Ltd,Sana,South,Logistics,Qualified,1268000,0.25,317000,Email Nurture,2025-07-09,2025-10-16,Email Nurture
OPP-0146,Metro Healthcare,Sana,North,Retail,Won,2464000,1.0,2464000,Organic,2025-09-08,2025-12-13,Organic
OPP-0147,Lotus Retail,Aarav,East,Manufacturing,Negotiation,3118000,0.7,2182600,Partner Referral,2025-01-29,2025-05-30,Partner Referral
OPP-0148,Westline Systems,Kabir,West,IT Services,Qualified,4116000,0.25,1029000,Partner Referral,2025-11-29,2026-04-09,Partner Referral
OPP-0149,BluePeak Ltd,Meera,West,Logistics,Lead,198000,0.1,19800,Google Search,2025-03-23,2025-05-09,Google Search
OPP-0150,Cobalt Systems,Meera,South,IT Services,Lost,1841000,0.0,0,Partner Referral,2025-11-09,2026-03-10,Partner Referral
OPP-0151,Horizon Tech,Meera,East,IT Services,Negotiation,2433000,0.7,1703100,Email Nurture,2025-04-20,2025-05-28,Email Nurture
OPP-0152,Horizon Tech,Sana,West,Healthcare,Won,222000,1.0,222000,Partner Referral,2025-08-15,2025-09-17,Partner Referral
OPP-0153,Nova Systems,Diya,South,Education,Lost,1156000,0.0,0,Organic,2025-01-20,2025-06-15,Organic
OPP-0154,Riverstone Ltd,Diya,North,Manufacturing,Proposal,2838000,0.5,1419000,Google Search,2025-03-13,2025-05-26,Google Search
OPP-0155,Pioneer Logistics,Aarav,West,Manufacturing,Lost,2058000,0.0,0,Email Nurture,2026-05-19,2026-06-23,Email Nurture
OPP-0156,Trinity Services,Sana,South,Manufacturing,Won,3526000,1.0,3526000,LinkedIn,2025-10-07,2025-11-20,LinkedIn
OPP-0157,Horizon Tech,Diya,North,Manufacturing,Won,1415000,1.0,1415000,Partner Referral,2026-06-18,2026-11-14,Partner Referral
OPP-0158,Riverstone Ltd,Diya,East,Logistics,Won,1323000,1.0,1323000,Partner Referral,2026-08-18,2027-01-01,Partner Referral
OPP-0159,Eagle Retail,Diya,South,Education,Qualified,2169000,0.25,542250,Google Search,2025-12-13,2026-05-03,Google Search
OPP-0160,Metro Healthcare,Kabir,North,Manufacturing,Proposal,3735000,0.5,1867500,LinkedIn,2025-12-10,2026-03-13,LinkedIn
OPP-0161,Jupiter Foods,Meera,West,Retail,Lost,3488000,0.0,0,Organic,2026-07-27,2026-10-10,Organic
OPP-0162,Zenith Foods,Meera,South,Manufacturing,Qualified,899000,0.25,224750,Google Search,2025-01-21,2025-05-13,Google Search
OPP-0163,Orion Industrial,Aarav,North,Retail,Qualified,1969000,0.25,492250,LinkedIn,2026-04-28,2026-08-27,LinkedIn
OPP-0164,Lotus Retail,Kabir,North,IT Services,Qualified,3929000,0.25,982250,LinkedIn,2026-06-28,2026-10-22,LinkedIn
OPP-0165,Trinity Services,Kabir,North,Manufacturing,Won,313000,1.0,313000,Partner Referral,2025-02-19,2025-04-24,Partner Referral
OPP-0166,Falcon Logistics,Meera,South,Education,Won,3166000,1.0,3166000,Google Search,2025-09-16,2025-12-31,Google Search
OPP-0167,Zenith Foods,Diya,West,Logistics,Qualified,872000,0.25,218000,Google Search,2025-03-06,2025-06-24,Google Search
OPP-0168,Riverstone Ltd,Aarav,East,Manufacturing,Won,2075000,1.0,2075000,LinkedIn,2025-03-03,2025-03-29,LinkedIn
OPP-0169,Gamma Manufacturing,Meera,South,Retail,Proposal,1076000,0.5,538000,LinkedIn,2025-02-28,2025-07-14,LinkedIn
OPP-0170,Dawn Healthcare,Aarav,North,Education,Won,1752000,1.0,1752000,Google Search,2026-07-04,2026-09-25,Google Search
OPP-0171,Eagle Retail,Diya,West,Education,Lead,2010000,0.1,201000,Email Nurture,2025-01-13,2025-05-26,Email Nurture
OPP-0172,Aria Components,Diya,East,Education,Lead,880000,0.1,88000,Partner Referral,2025-06-08,2025-11-04,Partner Referral
OPP-0173,Vertex Health,Rohan,West,Logistics,Qualified,3736000,0.25,934000,LinkedIn,2026-04-22,2026-06-07,LinkedIn
OPP-0174,Horizon Tech,Kabir,North,Logistics,Proposal,4415000,0.5,2207500,Google Search,2026-08-22,2026-09-19,Google Search
OPP-0175,Crescent Retail,Aarav,South,IT Services,Lead,343000,0.1,34300,Partner Referral,2025-12-24,2026-03-18,Partner Referral
OPP-0176,Kaveri Engineering,Aarav,North,IT Services,Lost,834000,0.0,0,Organic,2025-12-19,2026-02-18,Organic
OPP-0177,Eagle Retail,Sana,North,Retail,Won,302000,1.0,302000,Google Search,2026-08-16,2026-10-09,Google Search
OPP-0178,Dawn Healthcare,Rohan,East,Manufacturing,Negotiation,615000,0.7,430500,Partner Referral,2025-12-18,2026-04-20,Partner Referral
OPP-0179,Cobalt Systems,Sana,North,IT Services,Qualified,212000,0.25,53000,Organic,2025-07-20,2025-09-28,Organic
OPP-0180,Fusion Logistics,Diya,East,Logistics,Qualified,4457000,0.25,1114250,Partner Referral,2025-07-04,2025-09-05,Partner Referral
OPP-0181,Evergreen Health,Rohan,West,Education,Won,2054000,1.0,2054000,Trade Show,2025-09-07,2025-12-28,Trade Show
OPP-0182,Pioneer Logistics,Rohan,West,Education,Qualified,4295000,0.25,1073750,Trade Show,2025-05-19,2025-09-02,Trade Show
OPP-0183,Kaveri Engineering,Diya,North,Healthcare,Qualified,1054000,0.25,263500,Google Search,2026-04-08,2026-06-10,Google Search
OPP-0184,Orion Industrial,Sana,North,Education,Negotiation,1058000,0.7,740600,LinkedIn,2026-05-08,2026-07-13,LinkedIn
OPP-0185,Falcon Logistics,Diya,South,Healthcare,Negotiation,387000,0.7,270900,Partner Referral,2026-08-08,2026-10-14,Partner Referral
OPP-0186,Riverstone Ltd,Sana,North,Logistics,Qualified,1596000,0.25,399000,LinkedIn,2026-02-03,2026-02-27,LinkedIn
OPP-0187,Trinity Services,Diya,East,Logistics,Negotiation,1891000,0.7,1323700,Email Nurture,2025-12-08,2026-03-03,Email Nurture
OPP-0188,Cobalt Systems,Rohan,East,IT Services,Negotiation,563000,0.7,394100,Email Nurture,2025-06-02,2025-07-15,Email Nurture
OPP-0189,Eagle Retail,Aarav,South,Education,Won,1885000,1.0,1885000,Organic,2026-03-30,2026-05-02,Organic
OPP-0190,Indus Education,Aarav,East,IT Services,Won,775000,1.0,775000,Email Nurture,2025-09-14,2026-01-24,Email Nurture
OPP-0191,Vertex Health,Rohan,East,Retail,Won,3897000,1.0,3897000,LinkedIn,2026-03-17,2026-04-04,LinkedIn
OPP-0192,Crescent Retail,Sana,West,Education,Proposal,342000,0.5,171000,Google Search,2025-01-04,2025-03-02,Google Search
OPP-0193,BluePeak Ltd,Sana,East,Logistics,Lead,784000,0.1,78400,Trade Show,2026-07-09,2026-11-03,Trade Show
OPP-0194,Orion Industrial,Sana,West,Logistics,Proposal,665000,0.5,332500,Organic,2026-06-16,2026-07-22,Organic
OPP-0195,Falcon Logistics,Aarav,East,IT Services,Won,2290000,1.0,2290000,Google Search,2026-02-13,2026-03-11,Google Search
OPP-0196,Falcon Logistics,Sana,West,Logistics,Qualified,1687000,0.25,421750,Trade Show,2025-12-12,2026-03-10,Trade Show
OPP-0197,Urban Retail,Rohan,West,Education,Lost,1455000,0.0,0,Email Nurture,2025-05-25,2025-07-01,Email Nurture
OPP-0198,Trinity Services,Aarav,West,Retail,Lead,1481000,0.1,148100,Trade Show,2025-06-23,2025-08-25,Trade Show
OPP-0199,Nova Systems,Meera,West,Retail,Negotiation,345000,0.7,241499,Trade Show,2025-11-16,2026-02-24,Trade Show
OPP-0200,Cobalt Systems,Diya,South,IT Services,Qualified,3246000,0.25,811500,Google Search,2025-05-26,2025-10-10,Google Search
OPP-0201,Horizon Tech,Sana,North,Healthcare,Qualified,360000,0.25,90000,Email Nurture,2025-11-09,2026-02-05,Email Nurture
OPP-0202,Gamma Manufacturing,Aarav,North,Education,Lost,2408000,0.0,0,Email Nurture,2026-06-24,2026-09-03,Email Nurture
